Timestamp,Where do you usually begin your commute?,Where do you usually end your commute?,How do commute? (Select all that apply),How long do you typically spend commuting/traveling?,How many stops and/or transfers do you make before you reach your final destination,What types of activities are part of your daily travels?,Would you describe yourself as,What factors play into your choice of transportation?,What is your current commute like?,Describe your ideal commute,What is your age?,What is your gender?,DLon,DLat,OLon,OLat,RandLat,RandLon,NewLon,NewLat,TimeAgo
3/30/2017 18:49:00,Ericsson,Ericsson,Walk,0-15 minutes,1,"Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use, Weather","I walk my daughter to school and walk back home where I work. I also love walking to complete errands in my neighborhood (library, post office, grocery & liquor stores, restaurants, etc).","In nice weather, I prefer walking. I also like the frequent/consistent schedule of the light rail.",35- 44 years old,,-93.23301403,44.92084538,-93.23301403,44.92084538,0.001,-0.003,-93.232,44.918,24
3/30/2017 19:00:07,Summit-University,Downtown East,Private Vehicle,0-15 minutes,0,"Going to/from work, Travelling between jobs, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use, Weather",Like riding in a minivan listening to NPR.,No pants telecommuting,35- 44 years old,,-93.25411332,44.9760663,-93.12794061,44.94867663,0.004,0.001,-93.124,44.950,24
3/30/2017 19:45:49,Macalester-Groveland,Macalester-Groveland,Walk,0-15 minutes,0,Taking children to school/childcare/activities,Hispanic/Latino,"Affordability, Convenience, Ease of Use, Weather",,,35- 44 years old,,-93.17450911,44.93398858,-93.17450911,44.93398858,0.004,0.000,-93.171,44.934,24
3/30/2017 20:30:26,Hale,Other - Hennepin County,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use",Time to listen to podcasts and/or music,I love public transportation!,35- 44 years old,,-93.4739,45.01,-93.25448108,44.90852704,0.004,0.003,-93.251,44.912,24
3/30/2017 20:40:04,ECCO,Other - Hennepin County,"Private Vehicle, Walk",15-30 minutes,0,"Going to/from work, Travelling between jobs, Taking children to school/childcare/activities, Picking up groceries/running errands",,"Convenience, Ease of Use",,,35- 44 years old,,-93.4739,45.01,-93.30440943,44.94303756,-0.002,0.002,-93.306,44.945,24
3/30/2017 21:53:59,Other - Hennepin County,Other - Hennepin County,Private Vehicle,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use, Weather",5 years ago I moved to a house less than 2 miles from my office and my commute now takes about 5 minutes by car. I used to commute 35 miles each way for 10 years and moved almost entirely because I couldn't stand the commute anymore ,A 10 minute walk outside in nice weather with a skyway option for inclement weather or when it is too hot. Unfortunately I don't live downtown so this is unrealistic ,35- 44 years old,Female,-93.4739,45.01,-93.4739,45.01,-0.079,-0.124,-93.553,44.886,24
3/31/2017 10:21:35,Waite Park,Beltrami,"Private Vehicle, Public Bus, Bike",0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use, Weather",It is a really short commute when I take my personal vehicle which I love. My biggest pain point is when taking the bus. I only have one route option and It is always late for the return ride. I end up waiting for much longer than my actual ride time.,"Personal, self-driving vehicle would be awesome.",25- 34 years old,Male,-93.24266866,44.99500069,-93.23612467,45.02901763,0.002,-0.002,-93.234,45.027,23
3/31/2017 11:50:43,Northrop,Downtown West,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use","Longer than I'd like, with a hard walk at the 6 pm afterschool pickup. I wish I could make busing or train work for me.",,35- 44 years old,Male,-93.2701272,44.9778478,-93.25536004,44.92006754,0.003,0.001,-93.252,44.921,23
3/31/2017 13:25:26,Other - Hennepin County,Downtown West,Private Vehicle,15-30 minutes,0,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Ease of Use",Routine.  Leave for downtown at 6:40 AM and return home at 5:15 PM.,Same as now but leave at 2:30 pm and work remainder of day at home.,45- 54 years old,Male,-93.2701272,44.9778478,-93.4739,45.01,-0.123,-0.123,-93.597,44.887,23
4/1/2017 9:56:13,Minnehaha,Tangletown,Private Vehicle,0-15 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,Ease of Use,,walking!,35- 44 years old,Female,-93.2814223,44.9120633,-93.21385221,44.90977565,0.001,0.001,-93.213,44.911,22
4/3/2017 13:05:02,Other - Hennepin County,Downtown East,Private Vehicle,30-60 minutes,0,Going to/from work,White/Caucasian,Convenience,Generally pretty good as long as I leave early in the morning.,No traffic!,35- 44 years old,Female,-93.25411332,44.9760663,-93.4739,45.01,-0.006,0.019,-93.480,45.029,20
4/3/2017 13:16:14,CapitolRiver Council,University of Minnesota,Light Rail,30-60 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use","headphones on, don't look at anyone",personal helicopter,18- 24 years old,Female,-93.23452921,44.97510326,-93.09620696,44.94952805,-0.002,0.004,-93.098,44.954,20
4/3/2017 15:16:51,Windom Park,Other - Dakota County,Private Vehicle,15-30 minutes,0,"Going to/from work, Travelling between jobs, Between job and school",White/Caucasian,"Affordability, Convenience, Ease of Use, No transit option <2 hours","Commuting in general is awful - I would rather teleport immediately to where I want to be. I absolutely hate driving a single passenger private vehicle, but have been unable to find anyone who commutes the same trip with flexible hours to accommodate my school schedule. ",Teleportation with a personal barista who makes me a breve every day. ,18- 24 years old,Female,-93.065505,44.671868,-93.2349646,45.00973939,0.005,-0.001,-93.230,45.009,20
4/5/2017 12:36:52,Elliot Park,Other - Ramsey County,"Public Bus, Light Rail, Bike, Walk",30-60 minutes,1,Going to/from work,White/Caucasian,"Affordability, Ease of Use, Weather","All answers are for my anticipated commute this summer, when I'll be working full-time in downtown St. Paul. The plan is to bike from my apartment to the nearest light rail station (U.S. Bank Stadium) and either lock my bike there for the day or bring it on the train for the 30-45 minute ride. I have a car but I like not having to deal with parking or contribute to congestion when I don't have to.","I want my ride to be interesting, comfortable, and safe. It'd be nice not to have to travel as far, but not so short that I wouldn't get to see anywhere else in the city along the way. I'd also like to be able to commute entirely by bike, but that's not always an option.",25- 34 years old,Male,-93.09962,45.017167,-93.26182243,44.96956629,0.001,0.003,-93.261,44.973,18
4/5/2017 16:16:30,Marcy Holmes,University of Minnesota,"Private Vehicle, Walk",15-30 minutes,0,"Going to/from work, Picking up groceries/running errands",White/Caucasian,"Convenience, Ease of Use","Usually quick and simple, barring any unusual traffic.","I actually don't mind long driving commutes, since my car time is kind of like my most peaceful and relaxing time in my day, and I'm a big car person so I always love to drive. That being said, I much prefer open roads than traffic jams.",18- 24 years old,Male,-93.23452921,44.97510326,-93.24518793,44.98507664,-0.002,-0.003,-93.247,44.982,18
